"eid","code","name","countrycode","statecode","metrocode","citycode","phoneprefix","type","lat","lon"
"ap/AAE","AAE","Les Salines Arpt","DZ","","","AAE","",2,36.83,7.81
"ap/AAF","AAF","Apalachicola Municipal Arpt","US","FL","","AAF","QHF",9,29.73,-85.03
"ap/AAG","AAG","Arapoti Arpt","BR","","","AAG","",9,-24.1,-49.78
"ap/AAH","AAH","Aachen Merzbruck Arpt","DE","","","AAH","QHF",2,50.91,5.76
"ap/AAL","AAL","Aalborg Arpt","DK","","","AAL","",2,57.09,9.84
"ap/AAM","AAM","Mala Mala Arpt","ZA","","","AAM","QHF",3,-24.8,31.53
"ap/AAN","AAN","Al Ain Arpt","AE","","","AAN","",2,24.26,55.61
"ap/AAQ","AAQ","Anapa Arpt","RU","","","AAQ","",2,44.9,37.31
"ap/AAR","AAR","Tirstrup Arpt","DK","","","AAR","",2,56.28,10.63
"ap/AAY","AAY","Al Ghaydah Arpt","YE","","","AAY","QHF",2,16.2,52.18
"ap/ABA","ABA","Abakan Arpt","RU","","","ABA","QHF",2,53.71,91.43
"ap/ABC","ABC","Los Llanos Arpt","ES","","","ABC","QHF",2,38.94,-1.86
"ap/ABD","ABD","Abadan Arpt","IR","","","ABD","QHF",9,30.36,48.23
"ap/ABE","ABE","Lehigh Valley Intl Arpt","US","PA","","ABE","",2,40.65,-75.43
"ap/ABI","ABI","Abilene Municipal Arpt","US","TX","","ABI","",2,32.42,-99.68
"ap/ABJ","ABJ","Felix Houphouet Boigny Arpt","CI","","","ABJ","",2,5.25,-3.93
"ap/ABL","ABL","Ambler Arpt","US","AK","","ABL","",2,67.08,-157.84
"ap/ABM","ABM","Bamaga Arpt","AU","QL","","ABM","QHF",2,-10.86,142.4
"ap/ABQ","ABQ","Albuquerque Intl Arpt","US","NM","","ABQ","",2,35.04,-106.61
"ap/ABR","ABR","Aberdeen Arpt","US","SD","","ABR","",2,45.45,-98.42
"ap/ABS","ABS","Abu Simbel Arpt","EG","","","ABS","QHF",2,22.37,31.61
"ap/ABT","ABT","Al Aqiq","SA","","","ABT","QHF",2,20.3,41.63
"ap/ABV","ABV","Abuja Intl","NG","","","ABV","",2,9,7.26
"ap/ABX","ABX","Albury Airport","AU","NS","","ABX","QHF",2,-36.06,146.95
"ap/ABY","ABY","Dougherty Cty Arpt","US","GA","","ABY","",2,31.53,-84.2
"ap/ABZ","ABZ","Dyce Airport","GB","","","ABZ","",2,57.2,-2.2
"ap/ACA","ACA","Alvarez Intl Arpt","MX","","","ACA","",2,16.76,-99.75
"ap/ACC","ACC","Kotoka Airport","GH","","","ACC","",2,5.6,-0.16
"ap/ACE","ACE","Lanzarote Airport","ES","","","ACE","",2,28.95,-13.6
"ap/ACH","ACH","Altenrhein Arpt","CH","","","ACH","",2,47.48,9.55
"ap/ACI","ACI","The Blaye Arpt","GB","","","ACI","",2,49.7,-2.2
"ap/ACK","ACK","Nantucket Memorial","US","MA","","ACK","",2,41.26,-70.06
"ap/ACO","ACO","Ascona Arpt","CH","","","ACO","QHF",2,46.15,8.76
"ap/ACT","ACT","Madison Cooper Arpt","US","TX","","ACT","",2,31.63,-97.07
"ap/ACV","ACV","Arcata Eureka Arpt","US","CA","","ACV","",2,40.97,-124.1
"ap/ACX","ACX","Xingyi Arpt","CN","","","ACX","QHF",3,25.08,104.95
"ap/ACY","ACY","Pomona Field","US","NJ","","AIY","",2,39.45,-74.57
"ap/ADA","ADA","Adana Airport","TR","","","ADA","",2,36.98,35.28
"ap/ADB","ADB","Adnan Menderes Airport","TR","","","IZM","",2,38.29,27.15
"ap/ADD","ADD","Bole Airport","ET","","","ADD","",2,9,38.78
"ap/ADE","ADE","Yemen Intl Arpt","YE","","","ADE","",2,12.83,45.03
"ap/ADG","ADG","Lenawee County Arpt","US","MI","","ADG","",9,41.86,-84.07
"ap/ADJ","ADJ","Civil Marka Arpt","JO","","","AMM","QHF",2,31.96,35.98
"ap/ADK","ADK","Adak Island Ns","US","AK","","ADK","QHF",2,51.87,-176.64
"ap/ADL","ADL","Adelaide Arpt","AU","SA","","ADL","QHF",2,-34.94,138.53
"ap/ADM","ADM","Ardmore Municipal Arpt","US","OK","","ADM","",9,34.3,-97.01
"ap/ADQ","ADQ","Kodiak Arpt","US","AK","","ADQ","",2,57.75,-152.48
"ap/ADS","ADS","Addison Arpt","US","TX","","DFW","",9,32.96,-96.83
"ap/ADT","ADT","Ada Municipal Arpt","US","OK","","ADT","",9,34.8,-96.66
"ap/ADU","ADU","Ardabil Arpt","IR","","","ADU","QHF",3,38.25,48.3
"ap/ADW","ADW","Andrews Air Force Base","US","MD","","ADW","",9,38.8,-76.91
"ap/ADX","ADX","Leuchars Arpt","GB","","","ADX","QHF",2,56.36,-2.86
"ap/ADZ","ADZ","San Andres Island Arpt","CO","","","ADZ","",2,12.58,-81.7
"ap/AEI","AEI","Algeciras Arpt","ES","","","AEI","",9,36.18,-5.45
"ap/AEL","AEL","Albert Lea Arpt","US","MN","","AEL","",9,43.68,-93.36
"ap/AEP","AEP","Jorge Newbery","AR","","BUE","BUE","",2,-34.56,-58.36
"ap/AER","AER","Alder Sochi Arpt","RU","","","AER","",2,43.45,39.93
"ap/AES","AES","Vigra Airport","NO","","","AES","",2,62.56,6.11
"ap/AEX","AEX","Alexandria Intl Arpt","US","LA","","AEX","",2,31.32,-92.54
